0.005,95.5
0.01,64.4
0.015,57.2
0.02,51.5
0.025,51.3
0.03,54.6
0.035,51.5
0.04,50.5
0.045,50.1
0.05,49.5
0.055,49.7
0.06,49.2
0.065,49.3
0.07,49.6
0.075,49.9
0.08,50.0
0.085,49.5
0.09,49.5
0.095,48.8
0.1,49.3
0.105,48.6
0.11,48.8
0.115,49.6
0.12,48.8
0.125,49.2
0.13,47.2
0.135,47.1
0.14,47.7
0.145,47.0
0.15,49.8
0.155,48.2
0.16,47.0
0.165,47.6
0.17,47.2
0.175,47.3
0.18,47.4
0.185,47.5
0.19,46.9
0.195,47.1
0.2,46.6
0.205,47.3
0.21,46.8
0.215,47.3
0.22,46.9
0.225,46.2
0.23,46.4
0.235,47.3
0.24,46.9
0.245,47.1
0.25,46.3
