0.005,91.3
0.01,65.0
0.015,56.6
0.02,56.3
0.025,54.1
0.03,54.9
0.035,52.7
0.04,55.3
0.045,53.5
0.05,54.4
0.055,54.8
0.06,54.1
0.065,53.5
0.07,52.8
0.075,53.5
0.08,53.8
0.085,53.6
0.09,53.4
0.095,54.6
0.1,52.6
0.105,54.0
0.11,52.6
0.115,53.2
0.12,52.9
0.125,53.2
0.13,54.5
0.135,54.7
0.14,54.7
0.145,56.6
0.15,54.7
0.155,54.8
0.16,55.6
0.165,56.4
0.17,56.0
0.175,54.1
0.18,54.3
0.185,53.9
0.19,53.6
0.195,54.0
0.2,54.8
0.205,54.7
0.21,53.9
0.215,54.0
0.22,54.4
0.225,54.0
0.23,54.2
0.235,54.2
0.24,54.4
0.245,54.6
0.25,54.1
