0.005,103.5
0.01,62.0
0.015,58.2
0.02,51.7
0.025,51.5
0.03,52.4
0.035,51.2
0.04,50.5
0.045,50.0
0.05,49.0
0.055,51.7
0.06,51.0
0.065,49.3
0.07,49.0
0.075,52.5
0.08,49.5
0.085,49.5
0.09,50.1
0.095,50.8
0.1,49.0
0.105,48.8
0.11,49.2
0.115,50.8
0.12,49.5
0.125,49.3
0.13,47.1
0.135,47.1
0.14,47.4
0.145,47.1
0.15,49.2
0.155,47.7
0.16,48.9
0.165,56.1
0.17,50.2
0.175,47.8
0.18,48.0
0.185,46.9
0.19,47.2
0.195,47.0
0.2,46.5
0.205,46.5
0.21,46.6
0.215,46.4
0.22,47.5
0.225,47.5
0.23,47.0
0.235,47.7
0.24,46.6
0.245,46.4
0.25,46.4
