0.005,110.0
0.01,82.2
0.015,81.0
0.02,75.3
0.025,75.1
0.03,76.8
0.035,71.6
0.04,71.5
0.045,72.4
0.05,72.2
0.055,72.0
0.06,71.7
0.065,68.8
0.07,68.8
0.075,69.0
0.08,68.7
0.085,68.2
0.09,68.9
0.095,68.5
0.1,69.0
0.105,69.3
0.11,69.0
0.115,68.8
0.12,69.1
0.125,69.0
0.13,68.1
0.135,67.8
0.14,69.3
0.145,68.8
0.15,69.1
0.155,68.9
0.16,68.3
0.165,69.1
0.17,69.1
0.175,68.5
0.18,68.9
0.185,68.5
0.19,69.0
0.195,69.3
0.2,68.9
0.205,68.8
0.21,70.0
0.215,70.0
0.22,68.7
0.225,69.4
0.23,68.1
0.235,68.8
0.24,68.6
0.245,69.1
0.25,69.0
